scraped_date,codigo,cotacao,data_cotacao,setor,subsetor,valor_mercado,valor_firma,numero_acoes,pl,lpa,pvp,vpa,pebit,marg_bruta,psr,marg_ebit,pativos,marg_liquida,p_cap_giro,ebit_ativo,p_ativ_circ_liq,roic,div_yield,roe,ev_ebitida,liquidez_corr,giro_ativos,div_br_patrim,cres_rec_5a,ativo,disponibilidades,ativo_circulante,div_bruta,div_liquida,patrimonio_liquido,receita_Liquida_12,receita_Liquida_3,ebit_12,ebit_3,lucro_liquido_12,lucro_liquido_3
2020-06-05 11:20:16.304060,BRGE12,6.8,2020-06-03 00:00:00,Financeiros,Bancos,500793000,-70876200,73646000,9.97,0.68,0.41,16.44,1.12,2.331,17.11,15.323,0.16,2.685,1.76,0.14400000000000002,1.39,0.177,0,0.040999999999999995,0.16,0.77,0.16,0,0.006,3111670000,571669000, 0.0 , 0.0 , 0.0 ,571669000,29269000,7068000,448475000,118370000,448475000,118370000
2020-06-05 11:20:16.304060,BRSR5,24.1,2020-06-04 00:00:00,Financeiros,Bancos,9856270000,-,408974000,7.69,3.13,1.22,19.73,0,0,0,0,0,0,0,0,0,0,0.034,0.159,0,0,0,0,0.09699999999999999,82939700000,30641400000, 0.0 , 0.0 , 0.0 ,8067010000,4189330000,957346000,1258630000,318283000,1258630000,318283000
2020-06-05 11:20:16.304060,BMGB4,5.59,2020-06-04 00:00:00,Financeiros,Bancos,3306350000,-,591475000,0,0,0.83,6.71,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0,21970000000,10050300000, 0.0 , 0.0 , 0.0 ,3967790000,0,421700000,0,13984000,0,13984000
2020-06-05 11:20:16.304060,SANB3,15.39,2020-06-04 00:00:00,Financeiros,Bancos,115402000000,-,7498530000,7.97,1.93,1.6,9.65,0,0,0,0,0,0,0,0,0,0,0.08900000000000001,0.2,0,0,0,0,0.012,1001790000000,220848000000, 0.0 , 0.0 , 0.0 ,72331100000,12685600000,5721650000,14594500000,3482280000,14594500000,3482280000
2020-06-05 11:20:16.304060,BBDC3,19.99,2020-06-04 00:00:00,Financeiros,Bancos,177316000000,-,8870210000,8.8,2.27,1.37,14.6,0,0,0,0,0,0,0,0,0,0,0.086,0.155,0,0,0,0,0.17600000000000002,1240260000000,314973000000, 0.0 , 0.0 , 0.0 ,129549000000,2132500000,27376200000,19648400000,5094410000,19648400000,5094410000
2020-06-05 11:20:16.304060,SANB11,30.44,2020-06-04 00:00:00,Financeiros,Bancos,114128000000,-,7498530000,7.88,3.86,1.58,19.29,0,0,0,0,0,0,0,0,0,0,0.094,0.2,0,0,0,0,0.012,1001790000000,220848000000, 0.0 , 0.0 , 0.0 ,72331100000,12685600000,5721650000,14594500000,3482280000,14594500000,3482280000
2020-06-05 11:20:16.304060,SANB4,15.2,2020-06-04 00:00:00,Financeiros,Bancos,113978000000,-,7498530000,7.87,1.93,1.58,9.65,0,0,0,0,0,0,0,0,0,0,0.099,0.2,0,0,0,0,0.012,1001790000000,220848000000, 0.0 , 0.0 , 0.0 ,72331100000,12685600000,5721650000,14594500000,3482280000,14594500000,3482280000
2020-06-05 11:20:16.304060,ITSA4,9.92,2020-06-04 00:00:00,Financeiros,Bancos,83435300000,84452300000,8410810000,9.44,1.05,1.61,6.18,322.14,0.27399999999999997,16.36,0.051,1.3,1.787,21.24,0.004,28.38,0.004,0.08800000000000001,0.17,87.97,2.58,326.07,0.09,0.022000000000000002,64343000000,3590000000, 0.0 , 0.0 , 0.0 ,1017000000,5099000000,1162000000,259000000,106000000,259000000,106000000
2020-06-05 11:20:16.304060,BEES3,5.93,2020-06-04 00:00:00,Financeiros,Bancos,1873360000,-,315913000,8.04,0.74,1.2,4.92,0,0,0,0,0,0,0,0,0,0,0.055,0.15,0,0,0,0,0.10099999999999999,27052000000,3863540000, 0.0 , 0.0 , 0.0 ,1555660000,772852000,246600000,349742000,84357000,349742000,84357000
2020-06-05 11:20:16.304060,BEES4,6.1,2020-06-04 00:00:00,Financeiros,Bancos,1927070000,-,315913000,8.27,0.74,1.24,4.92,0,0,0,0,0,0,0,0,0,0,0.053,0.15,0,0,0,0,0.10099999999999999,27052000000,3863540000, 0.0 , 0.0 , 0.0 ,1555660000,772852000,246600000,349742000,84357000,349742000,84357000
2020-06-05 11:20:16.304060,BPAC11,60.25,2020-06-04 00:00:00,Financeiros,Bancos,52333800000,-,2605830000,23.52,2.56,2.38,25.33,0,0,0,0,0,0,0,0,0,0,0.022000000000000002,0.10099999999999999,0,0,0,0,0.773,236221000000,24388600000, 0.0 , 0.0 , 0.0 ,21998900000,301341000,3375060000,1583330000,435445000,1583330000,435445000
2020-06-05 11:20:16.304060,BGIP3,42.6,2020-05-14 00:00:00,Financeiros,Bancos,651141000,-,15285000,8.02,5.31,1.45,29.47,0,0,0,0,0,0,0,0,0,0,0.028999999999999998,0.18,0,0,0,0,0.086,5848290000,2453360000, 0.0 , 0.0 , 0.0 ,450512000,402231000,103763000,136670000,33860000,136670000,33860000
2020-06-05 11:20:16.304060,BBDC4,21.9,2020-06-04 00:00:00,Financeiros,Bancos,194258000000,-,8870210000,9.64,2.27,1.5,14.6,0,0,0,0,0,0,0,0,0,0,0.087,0.155,0,0,0,0,0.17600000000000002,1240260000000,314973000000, 0.0 , 0.0 , 0.0 ,129549000000,2132500000,27376200000,19648400000,5094410000,19648400000,5094410000
2020-06-05 11:20:16.304060,RPAD3,6.15,2020-06-04 00:00:00,Financeiros,Bancos,520794000,511228000,84682000,12.42,0.5,0.51,11.96,127.9,0.948,1928.87,15.082,0.51,155.296,300.34,0.004,249.55,0.004,0,0.040999999999999995,125.55,0.86,125.55,0,0.08800000000000001,1026340000,9566000, 0.0 , 0.0 , 0.0 ,9566000,270000,71000,4072000,1366000,4072000,1366000
2020-06-05 11:20:16.304060,ITUB3,25.2,2020-06-04 00:00:00,Financeiros,Bancos,247064000000,-,9804140000,11.18,2.25,1.99,12.64,0,0,0,0,0,0,0,0,0,0,0.08,0.17800000000000002,0,0,0,0,0.2,197918000000,0, 0.0 , 0.0 , 0.0 ,123889000000,1539080000,521000000,0,0,0,0
2020-06-05 11:20:16.304060,ITSA3,11.5,2020-06-04 00:00:00,Financeiros,Bancos,96724400000,97741400000,8410810000,10.94,1.05,1.86,6.18,373.45,0.27399999999999997,18.97,0.051,1.5,1.787,24.62,0.004,32.9,0.004,0.076,0.17,101.81,2.58,377.38,0.09,0.022000000000000002,64343000000,3590000000, 0.0 , 0.0 , 0.0 ,1017000000,5099000000,1162000000,259000000,106000000,259000000,106000000
2020-06-05 11:20:16.304060,ITUB4,26.67,2020-06-04 00:00:00,Financeiros,Bancos,261476000000,-,9804140000,11.84,2.25,2.11,12.64,0,0,0,0,0,0,0,0,0,0,0.075,0.17800000000000002,0,0,0,0,0.2,197918000000,0, 0.0 , 0.0 , 0.0 ,123889000000,1539080000,521000000,0,0,0,0
2020-06-05 11:20:16.304060,BRIV4,7.3,2020-06-04 00:00:00,Financeiros,Bancos,646787000,-,88601000,10.51,0.69,0.43,16.92,0,0,0,0,0,0,0,0,0,0,0.076,0.040999999999999995,0,0,0,0,0.21899999999999997,13478900000,2018720000, 0.0 , 0.0 , 0.0 ,1498980000,98674000,15197000,43300000,10652000,43300000,10652000
2020-06-05 11:20:16.304060,BRIV3,7.5,2020-06-04 00:00:00,Financeiros,Bancos,664508000,-,88601000,10.8,0.69,0.44,16.92,0,0,0,0,0,0,0,0,0,0,0,0.040999999999999995,0,0,0,0,0.21899999999999997,13478900000,2018720000, 0.0 , 0.0 , 0.0 ,1498980000,98674000,15197000,43300000,10652000,43300000,10652000
